Order_ID,Customer_ID,Customer_Name,City,Postal_Code,Sales,Quantity
CA-2016-152156,CG-12520,Claire Gute,Henderson,42420,261.96,2
CA-2016-152156,CG-12520,Claire Gute,Henderson,42420,731.94,3
CA-2016-138688,DV-13045,Darrin Van Huff,Los Angeles,90036,14.62,2
US-2015-108966,SO-20335,Sean O'Donnell,Fort Lauderdale,33311,957.58,5
US-2015-108966,SO-20335,Sean O'Donnell,Fort Lauderdale,33311,22.37,2
CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,90032,48.86,7
CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,90032,7.28,4
CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,90032,907.15,6
CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,90032,18.5,3
CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,90032,114.9,5
CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,90032,1706.18,9
CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,90032,911.42,4
CA-2017-114412,AA-10480,Andrew Allen,Concord,28027,15.55,3
CA-2016-161389,IM-15070,Irene Maddox,Seattle,98103,407.98,3
US-2015-118983,HP-14815,Harold Pawlan,Fort Worth,76106,68.81,5
US-2015-118983,HP-14815,Harold Pawlan,Fort Worth,76106,2.54,3
CA-2014-105893,PK-19075,Pete Kriz,Madison,53711,665.88,6
CA-2014-167164,AG-10270,Alejandro Grove,West Jordan,84084,55.5,2
CA-2014-143336,ZD-21925,Zuschuss Donatelli,San Francisco,94109,8.56,2
CA-2014-143336,ZD-21925,Zuschuss Donatelli,San Francisco,94109,213.48,3
CA-2014-143336,ZD-21925,Zuschuss Donatelli,San Francisco,94109,22.72,4
CA-2016-137330,KB-16585,Ken Black,Fremont,68025,19.46,7
CA-2016-137330,KB-16585,Ken Black,Fremont,68025,60.34,7
US-2017-156909,SF-20065,Sandra Flanagan,Philadelphia,19140,71.37,2
CA-2015-106320,EB-13870,Emily Burns,Orem,84057,1044.63,3
CA-2016-121755,EH-13945,Eric Hoffmann,Los Angeles,90049,11.65,2
CA-2016-121755,EH-13945,Eric Hoffmann,Los Angeles,90049,90.57,3
US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,19140,3083.43,7
US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,19140,9.62,2
US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,19140,124.2,3
US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,19140,3.26,2
US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,19140,86.3,6
US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,19140,6.86,6
US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,19140,15.76,2
CA-2017-107727,MA-17560,Matt Abelman,Houston,77095,29.47,3
CA-2016-117590,GH-14485,Gene Hale,Richardson,75080,1097.54,7
CA-2016-117590,GH-14485,Gene Hale,Richardson,75080,190.92,5
CA-2015-117415,SN-20710,Steve Nguyen,Houston,77041,113.33,9
CA-2015-117415,SN-20710,Steve Nguyen,Houston,77041,532.4,3
CA-2015-117415,SN-20710,Steve Nguyen,Houston,77041,212.06,3
CA-2015-117415,SN-20710,Steve Nguyen,Houston,77041,371.17,4
CA-2017-120999,LC-16930,Linda Cazamias,Naperville,60540,147.17,4
CA-2016-101343,RA-19885,Ruben Ausman,Los Angeles,90049,77.88,2
CA-2017-139619,ES-14080,Erin Smith,Melbourne,32935,95.62,2
CA-2016-118255,ON-18715,Odella Nelson,Eagan,55122,45.98,2
CA-2016-118255,ON-18715,Odella Nelson,Eagan,55122,17.46,2
CA-2014-146703,PO-18865,Patrick O'Donnell,Westland,48185,211.96,4
CA-2016-169194,LH-16900,Lena Hernandez,Dover,19901,45,3
CA-2016-169194,LH-16900,Lena Hernandez,Dover,19901,21.8,2
CA-2015-115742,DP-13000,Darren Powers,New Albany,47150,38.22,6
CA-2015-115742,DP-13000,Darren Powers,New Albany,47150,75.18,6
CA-2015-115742,DP-13000,Darren Powers,New Albany,47150,6.16,2
CA-2015-115742,DP-13000,Darren Powers,New Albany,47150,89.99,1
CA-2016-105816,JM-15265,Janet Molinari,New York City,10024,15.26,7
CA-2016-105816,JM-15265,Janet Molinari,New York City,10024,1029.95,5
CA-2016-111682,TB-21055,Ted Butterfield,Troy,12180,208.56,6
CA-2016-111682,TB-21055,Ted Butterfield,Troy,12180,32.4,5
CA-2016-111682,TB-21055,Ted Butterfield,Troy,12180,319.41,5
CA-2016-111682,TB-21055,Ted Butterfield,Troy,12180,14.56,2
CA-2016-111682,TB-21055,Ted Butterfield,Troy,12180,30,2
CA-2016-111682,TB-21055,Ted Butterfield,Troy,12180,48.48,4
CA-2016-111682,TB-21055,Ted Butterfield,Troy,12180,1.68,1
CA-2015-135545,KM-16720,Kunst Miller,Los Angeles,90004,13.98,2
CA-2015-135545,KM-16720,Kunst Miller,Los Angeles,90004,25.82,6
CA-2015-135545,KM-16720,Kunst Miller,Los Angeles,90004,146.73,3
CA-2015-135545,KM-16720,Kunst Miller,Los Angeles,90004,79.76,4
US-2015-164175,PS-18970,Paul Stevenson,Chicago,60610,213.12,5
CA-2014-106376,BS-11590,Brendan Sweed,Gilbert,85234,1113.02,8
CA-2014-106376,BS-11590,Brendan Sweed,Gilbert,85234,167.97,4
CA-2016-119823,KD-16270,Karen Daniels,Springfield,22153,75.88,2
CA-2016-106075,HM-14980,Henry MacAllister,New York City,10009,4.62,1
CA-2017-114440,TB-21520,Tracy Blumstein,Jackson,49201,19.05,3
US-2015-134026,JE-15745,Joel Eaton,Memphis,38109,831.94,8
US-2015-134026,JE-15745,Joel Eaton,Memphis,38109,97.04,2
US-2015-134026,JE-15745,Joel Eaton,Memphis,38109,72.78,1
US-2017-118038,KB-16600,Ken Brennan,Houston,77041,1.25,3
US-2017-118038,KB-16600,Ken Brennan,Houston,77041,9.71,3
US-2017-118038,KB-16600,Ken Brennan,Houston,77041,27.24,3
US-2014-147606,JE-15745,Joel Eaton,Houston,77070,19.3,5
CA-2016-127208,SC-20770,Stewart Carmichael,Decatur,35601,208.16,1
CA-2016-127208,SC-20770,Stewart Carmichael,Decatur,35601,16.74,3
CA-2014-139451,DN-13690,Duane Noonan,San Francisco,94122,14.9,5
CA-2014-139451,DN-13690,Duane Noonan,San Francisco,94122,21.39,1
CA-2015-149734,JC-16105,Julie Creighton,Durham,27707,200.98,7
US-2017-119662,CS-12400,Christopher Schild,Chicago,60623,230.38,3
CA-2017-140088,PO-18865,Patrick O'Donnell,Columbia,29203,301.96,2
CA-2017-155558,PG-18895,Paul Gonzalez,Rochester,55901,19.99,1
CA-2017-155558,PG-18895,Paul Gonzalez,Rochester,55901,6.16,2
CA-2016-159695,GM-14455,Gary Mitchum,Houston,77095,158.37,7
CA-2016-109806,JS-15685,Jim Sink,Los Angeles,90036,20.1,3
CA-2016-109806,JS-15685,Jim Sink,Los Angeles,90036,73.58,2
CA-2016-109806,JS-15685,Jim Sink,Los Angeles,90036,6.48,1
CA-2015-149587,KB-16315,Karl Braun,Minneapolis,55407,12.96,2
CA-2015-149587,KB-16315,Karl Braun,Minneapolis,55407,53.34,3
CA-2015-149587,KB-16315,Karl Braun,Minneapolis,55407,32.96,2
US-2017-109484,RB-19705,Roger Barcio,Portland,97206,5.68,1
CA-2017-161018,PN-18775,Parhena Norris,New York City,10009,96.53,7
CA-2017-157833,KD-16345,Katherine Ducich,San Francisco,94122,51.31,3
CA-2016-149223,ER-13855,Elpida Rittenbach,Saint Paul,55106,77.88,6
CA-2016-158568,RB-19465,Rick Bensley,Chicago,60610,64.62,7
CA-2016-158568,RB-19465,Rick Bensley,Chicago,60610,95.98,3
CA-2016-158568,RB-19465,Rick Bensley,Chicago,60610,1.79,3
CA-2016-129903,GZ-14470,Gary Zandusky,Rochester,55901,23.92,4
US-2015-156867,LC-16870,Lena Cacioppo,Aurora,80013,238.9,6
US-2015-156867,LC-16870,Lena Cacioppo,Aurora,80013,102.36,3
US-2015-156867,LC-16870,Lena Cacioppo,Aurora,80013,36.88,3
CA-2017-119004,JM-15250,Janet Martin,Charlotte,28205,74.11,8
CA-2017-119004,JM-15250,Janet Martin,Charlotte,28205,27.99,1
CA-2017-119004,JM-15250,Janet Martin,Charlotte,28205,3.3,1
CA-2015-129476,PA-19060,Pete Armstrong,Orland Park,60462,339.96,5
CA-2017-146780,CV-12805,Cynthia Voltz,New York City,10035,41.96,2
CA-2016-128867,CL-12565,Clay Ludtke,Urbandale,50322,75.96,2
CA-2016-128867,CL-12565,Clay Ludtke,Urbandale,50322,27.24,6
CA-2014-115259,RC-19960,Ryan Crowe,Columbus,43229,40.1,14
